Electricity Generation*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,71.818,75.47800000000001,74.07900000000001,75.322,75.851,64.309,56.803000000000004,54.195,55.476,55.136,59.266,61.35,57.148,53.496,50.71,51.934000000000005,53.866,54.738,55.14,56.499,59.413000000000004,62.696,61.673,64.956,58.016,60.979,62.216,59.047000000000004,58.888,63.2847,66.296,65.103,64.296,64.785911,59.512508000000004,55.811935999999996,59.333898000000005,55.900161000000004,57.983000000000004,53.36249501369864,51.92137941489362,-0.024340414441083147,-0.024143656405085645,0.0016123697028963657
Slovakia,22.506,24.168,23.629,23.039,24.07,26.132,24.747,23.627,24.442,25.712,26.774,25.76,25.347,26.032,28.407,31.158,32.046,32.427,31.178,30.567,31.455000000000002,31.418,28.056,28.962,26.155,27.858,28.656000000000002,28.664,28.832,27.401,26.903000000000002,27.064,27.738,26.971,28.434,28.838,30.016000000000002,26.838,29.903000000000002,30.07,29.59492769975838,-0.013102437863107719,0.009582135543520609,0.0009190427011037956
Slovenia,0,0,0,0,0,12.399000000000001,12.744,12.344,11.946,12.895,12.913,12.737,13.178,13.705,13.261000000000001,13.624,14.466000000000001,14.6,13.821,15.272,15.117,15.115,15.043000000000001,16.398,16.403,16.44,16.059,15.736,16.103,17.437,15.1,16.5,16.326225,16.326935,16.099564,17.190698,15.876922,13.615509,15.876412,16.988169000000003,15.04718393618166,-0.11182840848530251,-0.00035032702204840227,0.00046727617343788745
Spain,126.5619468,128.5366308,132.6654516,138.75904740000001,147.05451660606062,151.92000000000002,155.797,158.718,156.798,161.848,167.085,174.453,190.39600000000002,195.209,208.451,224.472,236.043,244.963,260.72700000000003,280.007,294.077,299.454,305.052,313.758,296.30188802842883,300.4309460528766,291.7586963790894,297.55692891361343,285.25762508808515,278.7501245269591,281.01976436102154,274.63007297833207,275.63169507000003,274.452,267.50080554,263.3729547542341,274.312,292.454,285.880753,287.89251399999995,301.4768908725681,0.05005458723789702,0.0070515824804882055,0.00936208187155535
Sweden,137.14000000000001,138.651,146.571,146.23,143.091,146.508,147.38400000000001,146.445,145.812,143.038,148.35,140.633,149.407,159.00300000000001,155.159,145.584,161.615,146.732,135.435,152.454,159.06,143.3,148.742,149.65,136.681,148.255,151.163,166.302,153.155,153.662,162.058,156.131,164.25,163.38400000000001,168.423,163.817,171.779,173.142,166.078,172.352,170.08563858547768,-0.010445909322799873,0.004846483467467744,0.005281849859218868
Switzerland,56.33812333864965,57.410493354598614,59.733854864433816,60.53575491759702,54.610771398192455,56.01542743221691,58.061845826687936,59.5179197235513,61.55561297182351,66.13423976608188,62.86267091972355,57.32834821903243,62.90208612440192,63.28794045720362,68.61731525784158,67.32943859649124,72.24508931419459,66.93602870813397,67.18492078681552,65.39224348750665,59.48184635832004,63.86112174375332,67.7299303561935,68.74175225943647,68.26479532163744,68.00486177565125,64.82462679425838,70.0224066985646,70.40071717171718,71.95194524189263,67.86974322169058,63.31492929292929,63.29962679425838,67.619748,71.918723,70.331,64.958,64.52,72.744,81.054,67.723,-0.16218147820276074,-0.00021642367513452498,0.002103074198331645
Türkiye,34.218900000000005,39.6948,44.352900000000005,48.04880000000001,52.0432,57.543,60.246300000000005,67.3422,73.8075,78.32169999999999,86.2474,94.8617,103.2958,111.02239999999999,116.4399,124.92160000000001,122.72470000000001,129.3995,140.5805,150.6983,161.9562,176.2998,191.55812940900003,198.42,194.812934,211.21013,229.39792153846153,239.50105778714433,240.1607346153846,251.96277500000002,261.78335721700006,274.40770000000003,297.27750000000003,304.80190000000005,303.89756042480025,306.7030924444176,334.7231119286995,328.3793415166019,331.1488951358287,354.5702123648888,369.38734868278385,0.044643221283864554,0.03503252754543307,0.011470977396230195
Ukraine,272,272.7,281.5,297.2,295.3,298.835,278.683,252.524,229.906,202.922,194.018,182.986,178.002,172.822,172.12,171.445,172.972,173.734,180.36,182.165,186.055,193.381,196.251,192.586,173.619,188.828,194.9468,198.8777,194.3773,182.8154,163.6823,164.5729,156.0323,159.8528,154.141,147.8014,156.452,111.50450000000001,103.93987753303966,98.53500390132159,98.6335389052229,0.0037424657534246286,-0.04939019460091032,0.00306297197055232
United Kingdom,298.089,301.071,302.112,308.825,314.585,319.73900000000003,322.875,321.043,323.10200000000003,326.558,337.42400000000004,350.867,350.66700000000003,362.701,368.151,377.0679380328614,384.7786719908172,387.24631465201475,398.20912310146946,393.9297583155788,398.361132705616,397.282323570934,396.82994977026857,388.9180979407209,376.75380240151355,382.0682499709226,367.98182107032085,363.87299689914937,358.2837378255861,338.09592394138895,338.8753286570099,339.164262,338.19732600000003,333.75210000000004,327.1735,310.2962,307.8807,324.8208000000001,294.0786,286.25289999999995,290.561,0.017830937378264577,-0.015264177276485658,0.009023099126462812
Other Europe,93.76181234210527,99.07997670526314,101.3340884368421,103.93325279999999,104.5295224263158,74.52947626315789,72.5767705263158,59.70994252631578,53.80961026315789,56.82916689473685,56.804152007517885,61.459584383456814,64.47032816127894,65.6241766902579,61.9467273290579,63.37613313833545,63.10890957097422,62.57772230658658,65.96867502126348,70.54048532036838,73.66825292564009,74.96612745250468,71.52212912551661,77.57719795321638,80.37343111284423,87.2083115597023,81.59332373482191,79.34395845146952,90.13936732656089,80.15001119031047,85.24038785480064,88.9827612696438,82.92948610955591,92.46197601041176,87.55415666619956,87.12309679081929,94.81661887898842,89.79716792924347,97.5636364800897,92.65910202246806,89.05561174424209,-0.0362565816796917,0.004388166758198864,0.002765538432673629
Total Europe,2883.8757028252,2946.5707192487507,3044.572302112387,3129.937109017597,3190.7560966527917,3211.6085832242643,3229.3492316295265,3190.268458291273,3174.6036688606023,3192.4144816043745,3278.8746716472424,3354.3514017580446,3389.4454254179923,3466.6285071821503,3510.247893831344,3619.4124869248053,3685.0586175396497,3719.2505945203125,3811.067077166992,3895.8400543533567,3958.734860834841,4015.1433288579824,4064.587824551166,4088.187345246311,3895.287366334526,4065.5167736062162,4022.03446871706,4054.4058084502417,4023.435325612864,3940.5659029331764,3985.6436031519884,4024.527412914327,4063.8866736184486,4068.205759683395,4000.061657598887,3883.242030602405,4048.2638789964503,3904.799413007015,3820.0914145517954,3904.252993317745,3956.0212551979757,0.016035507018932194,-0.0007457237088757118,0.12285052684993918
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,20.702,21.542,22.909,23.572,23.3,23.152,23.4495,19.7626,19.051000000000002,17.571,17.044,17.085,16.836000000000002,17.995,18.176000000000002,18.7,18.969,18.701,21.286,21.744,22.872,24.543,21.847,21.642,18.869,18.709500000000002,20.2938,22.9881,23.354,24.727700000000002,24.6876,24.952900000000003,24.3209,25.229200000000002,26.0729,25.8391,27.8878,29.0398,29.3059,28.39614,28.657799999999998,0.011979604289454437,0.01502420186656428,0.0008899410800016038
Belarus,33.175,36.282000000000004,37.453,38.15,38.489000000000004,39.526,38.735,37.595,33.369,31.397000000000002,24.918,23.728,26.057000000000002,23.492,26.516000000000002,26.101,25.063,26.456,26.627,31.211000000000002,30.961000000000002,31.811,31.829,35.054,30.405,34.89,32.203,30.794,31.495,34.737,34.232,33.572,34.522,38.927,40.451,38.685,41.24,39.71749598715891,41.81668906602824,43.90752351932966,43.77539439762797,-0.0002777777777778212,0.02489595576462822,0.001359403784230513
Kazakhstan,81.263,85.09400000000001,88.49,88.417,89.657,87.379,85.99,83.166,77.889,66.777,66.739,58.747,52,49.800000000000004,47.300000000000004,51.6350914,55.3840027,58.3305501,63.8663626,66.9423699,67.9197296,71.66846050000001,76.6209469,80.3477922,78.72913190000001,82.6464953,86.5855045,90.61389420000002,92.61572009999999,94.64324290000002,91.6451167,94.642384,103.1279558,107.26880779999999,106.483161,108.6284069,115.07921110000001,113.4531695,113.5854688,118.66993790000001,124.37095484246609,0.050912298358085195,0.03100545708785929,0.003862223264637724
Russian Federation,962,1001.4,1047.3,1065.5,1076.5,1082.2,1068.1633000000002,1008.45,956.587,875.914,860.027,847.183,834.131,827.158,846.225,877.764,891.284,891.2860000000001,916.2860000000001,931.9,954.1,992.1000000000001,1018.7000000000002,1040,993.1000000000001,1038.0327,1054.8575,1069.2893,1059.0855,1064.1965,1067.5432990000002,1090.9702240000001,1091.184,1109.1977900000002,1118.14323,1085.41873,1157.08583,1166.93525,1178.24898,1209.320267,1194.436751,-0.009601332965343823,0.011294780745885191,0.03709211217115573
Turkmenistan,10.987,12.396,13.267,12.891,14.508000000000001,14.61,14.9535,13.1828,12.6368,10.52,9.905,10.13,9.498,9.416,8.86,9.943,10.614,10.707,10.92,11.98,12.819,13.65,14.88,15,16,16.7,17.2,17.8,18.900000000000002,20.1,21.5,22.6,22.8,24.2,22.5,25.7625,28.400000000000002,32.6,33.480199999999996,33.509051564736076,34.08846070853237,0.020078222313561378,0.04716927980265129,0.0010585851509377388
Uzbekistan,47.939,52.171,54.755,50.59,55.874,56.325,54.165,50.911,49.149,47.800000000000004,47.453,45.419000000000004,46.054,45.9,45.372,46.864000000000004,47.961,49.31,48.7139,49.677600000000005,47.6272,49.374,49.0329,50.1784,50.0631,51.935,52.772,52.9641,54.9,55.4,57.28,59.1,60.82,62.8966,63.5316,66.5007,71.36460000000001,74.2693,78.0054,82.7397,86.02252380922602,0.04252495424383396,0.04150393967696164,0.0026713487337913684
Other CIS,57.652,56.956,57.663000000000004,65.177,59.311,60.461,57.869,52.571,47.096,45.21000000000001,42.239000000000004,44.293,40.763000000000005,39.51800000000001,41.694,40.692,39.8,38.478,41.998000000000005,43.496,44.2842,43.491,44.1278,39.728100000000005,39.0694,41.069,44.5952,45.959,43.3245,44.131,43.998900000000006,43.4841,46.2716,48.6376,49.1698,49.143777799999995,50.1503441,49.802237,50.970754,52.763722,52.98010635215914,0.006851967881766008,0.018748777695194452,0.0016452474741829566
Total CIS,1213.718,1265.841,1321.8370000000002,1344.2969999999998,1357.6390000000001,1363.653,1343.3253000000002,1265.6384,1195.7777999999998,1095.1889999999999,1068.325,1046.585,1025.339,1013.2790000000001,1034.143,1071.6990914,1089.0750027,1093.2685501,1129.6972626000002,1156.9509699,1180.5831296000001,1226.6374605000003,1257.0376469000003,1281.9502922,1226.2356319000003,1283.9826953,1308.5070045,1330.4083942,1323.6747201,1337.9354429000002,1340.8869157000001,1369.3216080000002,1383.0464557999996,1416.3569978000003,1426.3516909999998,1399.9782147,1491.2077852000002,1505.8172524871588,1525.4133918660284,1569.3063419840657,1564.3319911100114,-0.00043873511761216566,0.015532150968611269,0.04857886165893763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,38.915,42.186,45.062,46.97,51.431000000000004,57.655,62.814,67.178,74.686,81.004,84.35300000000001,89.74,96.983,102.385,110.08800000000001,119.348,127.60300000000001,138.225,151.645,162.755,177.077,193.43,203.131,210.48000000000002,221.80700000000002,235.681,235.588,248.756,258.85200000000003,275.628,280.238,286.14300000000003,305.164,312.35,318.885,337.219,356.41200000000003,367.07300000000004,382.01790204108266,395.78569235585,398.6803364561505,0.010073428806810503,0.03588078952463114,0.012380643636329005
Iraq,20.973,22.287,22.51,23.45,23.86,28.373178,13.359352999999999,21.912236,27.089582,26.663286,26.497928,25.981338,26.692943,26.743561000000003,24.720878000000003,27.19228,31.724815,35.41740600000001,26.605591,30.696344,28.343179,30.591112000000003,32.347414,35.305087,41.293343,41.702884,42.221572,47.76809,62.108841999999996,71.172908,75.32353499999999,86.31705099999999,93.573771,99.00342900000001,115.211044,116.79408063013699,118.052773,131.308207,147.06918600000003,144.55661141396627,159.4259645978158,0.10588333870575428,0.07786119293939242,0.004950823688994886
Israel,15.4314,16.034200000000002,17.677,19.3525,20.4533,20.8976,21.5141,24.6862,25.9997,28.3157,30.437,32.5694,35.111000000000004,37.976400000000005,39.2275,42.9575,43.8382,45.4279,47.0476,48.4711,49.833400000000005,51.8112,55.1071,55.8315,55.3072,58.486000000000004,59.276700000000005,62.96549999999999,61.358900000000006,61.3303,64.3307,67.3643,67.7115,69.2799,72.37710000000001,72.7603,73.78810000000001,75.9845,76.634,80.38616183734504,83.34718128125303,0.0396755836188305,0.026236043727277947,0.002588268482735164
Kuwait,15.417,16.935,18.092,19.599,21.085,18.477,10.78,16.885,20.178,22.802,23.724,25.475,26.724,29.984,31.576,32.323,34.299,36.362,39.802,41.256,43.734,47.607,48.753,51.749,53.218,57.083,57.489000000000004,61.119,60.9822,65.14330000000001,68.29310000000001,70.133814,72.84121400000001,74.16217000000003,75.140542,74.82570197808222,80.781,83.544,88.017474,89.499605,87.073507,-0.02444190057124107,0.02459190652740806,0.0027039860302991584
Oman,2.888,3.617,3.884,4.408,4.707,4.501,4.625,5.113,5.833,6.198,6.5,6.8020000000000005,7.3180000000000005,8.2,8.413,9.111,9.737,10.331,10.714,11.499,12.648,13.585,14.443,16.048000000000002,18.4453,19.8187,21.870900000000002,25.017303000000002,26.240023,29.137095000000002,32.75802,34.2277,36.126,37.714,38.834,38.322,40.992274,42.51062056773063,44.966,49.132,51.612300000000005,0.05336040791426844,0.04651042000396122,0.0016027715317772746
Qatar,3.964,4.3180000000000005,4.386,4.614,4.646,4.8420000000000005,4.6690000000000005,5.183,5.5600000000000005,5.8500000000000005,6.013,6.615,6.91,8.166,8.939,9.134,9.951,10.94,12.012,13.233,14.396,15.325000000000001,19.462,21.616,24.158,28.144000000000002,30.731,34.788000000000004,34.668,38.693,41.499300000000005,42.307,45.555,47.913000000000004,49.873,49.259,51.641,54.623000000000005,56.300000000000004,58.72443681166783,62.526146160975124,0.06765520582307172,0.04184254641021656,0.001941690780270514
Saudi Arabia,51.654002630612986,55.684684547758216,65.00028621595652,70.09106991465457,75.72979095749017,79.88045573923428,84.99571265049852,93.47317729536415,102.66853564598502,106.04595385502262,109.92802536517088,112.16712229183555,119.10447093268016,126.16767866628155,130.9993761190688,138.68348321319314,146.09321173726448,154.90595933869218,166.58758916524172,173.40466164636763,191.05495591246506,196.3114419188385,204.4337426951941,204.20060900000001,217.306609,248.77351000000002,259.15266,281.62719,294.72806,328.20245,350.64064,357.65966000000003,394.99196,374.78261000000003,378.53632240919995,380.89397670899,392.94357328650057,409.8388368949192,433.23900000000003,458.41253295032016,471.4249345909561,0.031203284761520678,0.030042228816692607,0.014639658851327071
United Arab Emirates,12.185,12.815,13.658,14.84,15.612,17.081,17.222,18.689,21.73,23.736,24.982,26.572,28.464000000000002,33.392,37.126,39.944,43.172000000000004,46.856,49.45,52.417,60.698,62.438,78.761,80.46300000000001,85.69800000000001,93.949,99.137,106.22200000000001,109.99542398325816,116.54490253421261,127.38302282737672,129.61298617812653,134.56869058801547,136.01427821046096,138.45405785644084,137.31036462050002,149.052872,155.4385,167.5327,179.2578,184.41095700149714,0.031565669667547924,0.037689726547685654,0.005726709176490927
Other Middle East,22.090000000000003,23.459000000000003,24.274,25.611,25.537,26.461,28.336000000000002,32.843,36.1,39.084,41.943000000000005,46.099,49.828,54.541000000000004,56.723000000000006,59.571,62.6375,68.0023,70.2954,74.3756,80.6906,86.76440000000001,91.8922,97.9736,101.1679,108.96113850000002,103.992315,105.51131199999999,99.47709700000001,97.13278700000001,93.93951700000001,93.014274,95.71234,104.7820082,109.929695,103.795581,100.91261400000002,98.27268661163141,99.83549370619104,100.70895540806859,104.48808277924446,0.04036777141264336,0.010699018057020782,0.0032447793353243375
Total Middle East,183.517402630613,197.3358845477582,214.54328621595656,228.9355699146546,243.06109095749017,258.16823373923427,248.3151656504985,285.9626132953642,319.8448176459851,339.6989398550228,354.3779533651709,372.02086029183556,397.13541393268014,427.55563966628154,447.8127541190689,478.26426321319315,509.0557267372644,546.4675653386922,574.1591801652418,608.1077056463678,658.4751349124651,697.8631539188384,748.330456695194,773.666796,818.4013519999997,892.5992325,909.459147,973.774395,1008.4105459832583,1082.9847425342125,1134.4058348273766,1166.7797851781265,1246.2444755880156,1256.001395410461,1297.240761265641,1311.1800049377093,1364.5762062865008,1418.5933510742816,1495.6117557472735,1556.463795777218,1602.9894098678922,0.03271349197885187,0.03518082819035406,0.04977933151354834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,12.274000000000001,12.981,12.722,13.966000000000001,15.324,16.104,17.345,18.286,19.414,19.883,19.715,20.654,21.497,23.262,24.757,25.412,26.625,27.648,29.528000000000002,31.249000000000002,33.915,35.227000000000004,37.31,40.237,43.112,45.735,51.224000000000004,57.397,59.89,64.241,68.798,70.997,76.017,76.663,81.527,79.15530000000001,85.39,91.23100000000001,95.627,101.386,103.47066272189413,0.023357702144530368,0.04165557303939349,0.0032131843104217404
Egypt,30.2535,32.461,35.6545,38.7125,40.6145,41.9525,43.276,44.987,46.737,48.550000000000004,50.652,53.57,56.784,60.697,65.7305,73.319,80.7125,86.236,92.1865,98.2523193222548,104.94731541218638,111.66104985337243,119.86698044965787,128.79240990550667,134.2672326490714,144.43171977842945,149.56286705767351,162.83109221244706,165.06383740632128,171.23427891821441,181.83642717497554,188.19109872922775,193.2111642228739,199.39878038449007,200.56296643857934,198.61019257087,209.65550048875855,216.7106129032258,221.91848093841645,237.00472434017595,242.41846212629815,0.02564462785816679,0.029173227743531482,0.007528077800703671
Morocco,7.345,7.764,8.001,8.984,9.024000000000001,9.628,9.205,9.719,9.91,11.47,12.092,12.538,13.593,12.968,12.895,12.863,15.046000000000001,15.228,16.52,17.5715,19.723200000000002,20.451,20.313,20.990600000000004,21.6553,23.683400000000002,25.3556,27.6585,28.120700000000003,29.2785,30.3209786833581,30.716,31.630897,34.441907,40.148075,38.47200978475,41.024721042029995,41.155944037375484,42.20601341024201,43.713,45.88908876525135,0.05265738558586808,0.04230932184288139,0.001425042578845454
South Africa,143.491,148.241,152.373,158.141,163.359,167.226,168.316,168.09,174.70600000000002,181.69,186.655,200.092,210.362,205.374,203.012,210.67000000000002,210.1,220.57500000000002,234.229,244.60500000000002,244.922,253.798,263.479,258.291,249.55700000000002,259.601,262.538,257.919,256.137,254.76500000000001,250.466,253.138,255.485,256.411,252.653,239.547,244.412,234.91,224.54,235.834,231.095,-0.01740997063060723,-0.008017120225409013,0.007176438312884123
Eastern Africa,24.10058113509193,24.67526938449241,24.880256060991208,27.227615658273383,26.428566974260594,29.951393520063945,31.357875813349317,28.714313615507592,30.262956102485774,30.694924620193895,31.665776918229533,31.400579926867927,33.41451050296856,38.80012010020355,41.01749450162739,43.6915349914959,48.794609538091066,51.38872689150836,51.3495827454297,55.22679422833896,58.379044420234976,60.4444057061729,64.1569621288665,65.11212744300073,68.85924490523078,74.17274102574662,78.35331349945444,81.85334039182682,86.9866761953784,93.58741432820668,98.67860456522217,97.16393646897704,103.59633315514307,108.774291234859,110.8963724667307,110.79262918687492,117.1455239868824,123.4847844878124,125.74469962063948,129.89658483058628,145.53134828746067,0.12343264836786072,0.039616958836680816,0.004519339421345404
Middle Africa,9.739,10.049999999999999,10.088000000000001,10.238,11.942,10.88810000038147,10.614499999999998,11.4015,10.753,10.308000000000002,11.440000000000001,11.616,11.059000000000001,10.943000000000001,11.517000000000001,12.701018999999999,13.063742999999999,13.320379,14.055146,15.793062,16.505922,18.810749,18.86239,20.416650999999998,21.460421,22.51352,23.012677,23.741396,28.483048000000004,31.617969000000006,34.084714,34.705367,36.028377221999996,39.84739,42.0562109,43.4987305,44.073067,44.417517363,46.39676502670898,48.23862915504841,48.11153580593855,9.78277749263956e-05,0.035068177368051234,0.0014940585856441453
Western Africa,18.222020130339605,20.251501981085973,21.438769199218584,22.192451642363622,23.778657472190186,24.345024397950727,25.41621091900517,26.628327844215836,26.530572371170642,27.53577491788634,28.665120605566283,30.09524124974043,31.120616666518004,29.116808488276874,31.99620706386985,32.035884990905764,34.04030894602966,40.37742666350675,37.64650732654695,42.71474785601174,43.18093145380534,44.57421404772323,43.469422021684956,43.50067887058408,42.62299062479298,50.85881046893806,52.73352696000002,55.32239677195468,60.318817188000004,64.03378338493003,64.334305125,69.17218958800001,71.52185927299999,74.229154206,82.04296391020704,87.76678377134775,94.90465347216288,95.78300147033066,101.4607449857968,103.65504444268409,111.72813247534394,0.08083728631102272,0.0567493576502518,0.003469612282927156
Other Northern Africa,11.392736842105263,11.405894736842106,12.5,13.330052631578948,13.591105263157894,16.06421052631579,16.57421052631579,17.33221052631579,18.05021052631579,18.821210526315788,19.170315789473683,20.099315789473685,21.189315789473685,22.699315789473683,24.48821052631579,26.17621052631579,27.58721052631579,29.372,30.233318000000004,32.219113,35.332907999999996,37.814703,39.973498,43.029293,45.625088,48.929883000000004,42.495678,52.335791,56.296791,56.942791,57.210791,51.273791,53.870923999999995,55.181788,56.71195999999999,51.06105387404016,56.671949,56.53035,55.025929999999995,55.1798345251739,56.79400373361874,0.03207275327849213,-0.0007309109898021582,0.001763684477535323
Other Southern Africa,2.168,2.2800000000000002,2.6020000000000003,2.5040000000000004,2.586,2.617,2.7430000000000003,2.713,2.71,2.3810000000000002,2.6369999999999996,2.0749999999999997,1.859,2.5985000000000005,3.1789,3.3883,3.2193,3.4256,3.2862,3.1115,3.5085,3.3525800000000006,3.2406800000000002,3.1337,2.964118,2.830902,2.892014,3.474313,4.143899,4.973816000000001,5.017283905376971,4.67841860901107,5.658612803982013,5.046005049,4.483359183999999,4.89453272,4.676811042000001,5.477293702,6.053376788956831,6.995965,6.027468138256928,-0.13607604532117878,0.018513112821155087,0.00018717736548638162
Total Africa,258.98583810753684,270.1096661024205,280.2595252602097,295.29561993221597,306.6478297096086,318.776228444712,324.84779725867025,327.87135198603914,339.0737389999722,351.333910064396,362.6922133132695,382.1401369660821,400.87844295896025,406.45874437795413,418.5923120918131,440.25694950871736,459.1886720104365,487.5711325550151,509.0342540719766,540.7430364066055,560.4148212862266,586.1337016072686,610.6719326002093,623.5034602190915,630.1233951790952,672.7569762731141,688.1676765171279,722.5328293762288,745.4407687896996,770.6745526313509,790.7471044539327,800.0358013952163,827.0201676769989,849.993315874349,871.081907899517,853.7982324078829,897.9542260318337,909.7005039637443,918.9730107707602,961.9037822936684,991.0657020540624,0.033139664118131185,0.022837126894063697,0.030776615135793398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,123.673,129.52700000000002,135.815,143.374,151.433,155.6535,157.9635,161.4005,165.3825,170.1425,175.2245,180.127,188.9795,199.471,206.89950000000002,216.829,224.255,223.49519999999998,225.9524,229.21705,230.73954999999998,237.99095000000003,243.1848,245.37090000000003,249.90195000000003,250.96169999999995,256.30415,250.6716,249.5631,247.64734399999998,253.98442211296398,258.21868620308385,258.96705940590533,262.632006,265.90019900000004,265.162088,267.452257,272.921745,274.779995,283.920159,285.9224785640355,0.009811451325565601,0.011915205702462073,0.00887905419711259
Bangladesh,4.5280000000000005,4.8,5.587,6.541,7.115,7.732,8.27,8.894,9.206,9.784,10.806000000000001,11.474,11.858,12.882,14.450000000000001,15.812960000000002,17.425214,18.734466,19.7731,24.725394,26.486352,29.583033,31.071277,34.291444000000006,37.234364,40.860623999999994,44.316699,48.747697,54.654828206000005,57.688481672533094,62.1119080396,70.213014837017,73.69383802100002,79.72984923,84.66788940200001,84.73946113281794,94.95146164500002,100.154593385,98.89274073522002,105.96205151879495,107.15343854196,0.014014055658408742,0.056046700843241926,0.0033275494567593243
China,410.69,449.53000000000003,497.267,545.21,584.8100000000001,621.2,677.5500000000001,753.94,811.59,927.8000000000001,1007.0300000000001,1081.31,1135.55,1167,1239.3000000000002,1355.6,1480.802,1654.0000000000002,1910.575,2203.31,2500.2599999999998,2865.726,3281.5530000000003,3495.7599999999998,3714.6510000000003,4207.16,4713.019,4987.553,5431.635,5794.457,5814.573,6133.16,6604.447,7166.133,7503.428,7779.060000000001,8534.248,8848.712,9456.44,10086.880000000001,10575.25,0.051288732261237646,0.0616400201511238,0.328404462529816
China Hong Kong SAR,19.249444444444446,21.418888888888887,23.75361111111111,25.5075,27.363333333333333,28.96,31.88888888888889,35.07555555555555,35.9475,26.74083333333333,27.915555555555557,28.44,28.943055555555556,31.414444444444445,29.495833333333334,31.328611111111112,32.42916666666667,34.31166666666667,35.50611111111111,37.12861111111111,38.44833333333334,38.612500000000004,38.94777777777777,37.99027777777778,38.76777777777777,38.33266666666667,39.07338888888889,38.79666666666667,39.10333333333334,39.85005555555556,37.98561111111111,38.224444444444444,36.98891622222222,36.53371244444444,36.886604999999996,35.31926277777777,37.32501833333333,36.543885111111116,37.98166911111112,39.05309738947227,37.04984424460322,-0.04869643765551268,-0.0024912202713598397,0.0011505481370144741
India,186.3858336,202.67720139999994,223.66949020000004,241.3046202,272.44643060000004,287.7628267666394,320.45763072132127,337.1533206918919,362.1762511495495,387.9669838852853,427.14877394605514,443.20541305470925,469.15354767272726,505.0784301838384,547.3624648348896,571.3939361358995,586.0927384360359,609.650478588807,638.1310101807262,698.300975,704.5093181999999,744.4262523150684,796.2651750000002,828.4135525,878.6223717253727,936.3916184132194,1032.3320481157323,1088.4179139975222,1141.2340895336304,1258.6889491805525,1310.5597830228955,1394.9463410202573,1462.397918455231,1571.6597147633324,1611.1782925095727,1570.9757283581719,1683.312006988783,1806.1482766059846,1925.9642222549903,2036.581900038966,2055.367128947481,0.011988897538116161,0.04602787270407749,0.06382749696540967
Indonesia,16.369,18.415,20.72,24.807000000000002,28.487000000000002,33.11472,38.10263,40.28435,39.70743,45.92842,54.12053,58.86775999999999,70.69102000000001,76.69270999999999,83.97097,93.32639999999999,101.6586,108.2168,112.9754,120.15060000000001,127.5608,133.11020000000002,142.44102,149.43653999999998,156.79722,169.78624,183.41872999999998,200.34014,216.18856,228.55565,233.98198,247.91780000000003,254.65998000000005,283.77097000000003,295.44928000000004,291.82997,309.076,333.53700000000003,350.609,371.553,382.6725400628699,0.03274891598466545,0.05042364401172428,0.011883536544693154
Japan,671.953,676.363,719.085,753.7280000000001,799.769,881.5,911.303,916.787,926.1030000000001,984.493,1010.88,1029.857,1054.864,1059.663,1079.142,1099.671,1083.142,1103.0810000000001,1092.595,1121.193,1153.0620000000001,1164.348,1180.109,1183.72,1114.003,1156.023,1104.183,1106.8799405099999,1087.75954653546,1062.7288196205511,1030.1143104329549,1063.6942197616236,1076.3261695038575,1082.86063786191,1047.2905908095588,1010.7695319308825,1034.6602432002571,1040.5497303103823,1006.7218698041504,1014.9738115555973,1027.352512907724,0.014969219499137543,-0.00026842994125619857,0.03190346798705628
Malaysia,14.944,16.131,17.421,19.352,21.515,23.016000000000002,26.552,31.38110800644695,34.87734916912133,39.75420469738232,46.574500092258106,53.40937387428445,59.93525469460346,64.14126656810983,68.16969828044239,69.90527357750237,75.77568516200746,80.88,83.3,96.06,98.75,103.994,108.539,113.82300000000001,116.114,125.045,127.069,134.077,140.98501000000002,147.461,150.123,156.665,160.63400000000001,170.578,178.493,174.004,178.58,192.455,202.754,211.167,210.36980242347786,-0.0010458165974992495,0.03431688962220303,0.006532836755385058
