Electricity Generation*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,29.374664236296862,31.652930080685092,33.680269194149396,35.473253763155576,37.02080622964625,38.24570622244135,40.12350790892981,36.613098717322494,41.69108606370082,45.024283810342446,47.483470608604755,48.3711213733397,49.906342280514785,50.283142879771205,47.77472075020728,46.7801803974841,48.20800287295764,50.28266393982947,52.11305277213689,53.83857431898831,55.89710848302268,59.06591451969429,60.520302011991134,61.37364043252378,63.183012130050784,64.66284077533707,66.15454613690152,67.71409307427427,69.82108651902985,72.74761912122442,75.02279787547572,74.44603435493727,74.97684938878174,78.2651745619921,80.39115705823686,79.3542233213873,85.56853,89.29658456697122,93.3326212928,96.13027457252481,95.9830528532152,0.0012040488732201204,0.024943983044401152,0.0029806636140262462
Ecuador,4.558,5.0120000000000005,5.384,5.641,5.769,6.3488547,6.974455799999999,7.1960273,7.4113050000000005,8.1439969,8.428596800000001,9.6792006,10.3617494,10.8903525,10.308119274180001,10.612439117316,11.049801148575,11.887558245805,11.546131783838998,12.584844248350999,13.404022567387997,15.115849674445,17.336655151753998,18.608525816211,18.264615252905998,19.509853832412002,20.544142533206,22.84795784014,23.260330036922998,24.307213342674,25.950192130099996,27.313862000571,28.032,29.244,32.284,31.247989999999998,32.20688,33.008300000000006,35.36203,34.37033,38.212309999999995,0.1148278547303434,0.03945638540855523,0.0011866474199260266
Peru,12.111,12.948,14.006,13.552,13.727,13.808,14.482000000000001,13.122,14.808,15.866,16.8801,17.279799999999998,17.953400000000002,18.5825,19.049599999999998,19.922700000000003,20.785700000000002,21.9823,22.9234,24.267,25.509700000000002,27.3698,29.943,32.4631,32.9447,35.908,38.8065,41.036,43.3302,45.549800000000005,48.27,51.7,52.742576,54.9823,57.0385,52.803000000000004,57.4832,59.80677654213128,62.20862789975236,63.603018466788576,65.04171805951394,0.02542168783080534,0.03027098828953556,0.0020198095043947426
Trinidad & Tobago,3.023,3.291,3.481,3.485,3.428,3.577,3.72,3.976,3.817,4.069,4.307,4.541,4.988,5.1690000000000005,5.247,5.459531,5.644039,5.644369,6.437902,6.430579,7.058743000000001,7.17109,7.676285,7.731534,7.842939,8.485408,8.772408,9.134227999999998,9.507228,9.423228,9.570255,9.419255,9.323860999999999,9.225641,9.188740999999998,9.225641,9.262341,9.493243,9.509791,9.751302619669248,9.76318940480517,0.003962060328303707,0.001997921134476721,0.0003031866829684249
Venezuela,47.29,50.112,54.132,58.245000000000005,57.620000000000005,59.321,63.337,67.44,69.382,71.221,73.446,75.58800000000001,78.066,80.904,80.58500000000001,85.211,90.117,89.39489999999999,90.0603,96.8695,104.36079,110.64354,113.69732,119.31733,124.84439,116.7162,122.89773,127.85427,132.62415,130.95536,126.29997,116.16088,110.34358,92.26341999999998,78.11817000000002,76.59282344875486,75.18936408834908,76.3719325147713,81.08322758439179,81.87038789245861,81.26096549279544,-0.004724414131263233,-0.043141160918669486,0.002523483009604067
Central America,11.155437699999998,11.5762383,12.6470576,12.986929799999999,13.886020900000002,14.493572863157898,15.272236705263158,17.281169315789473,18.22916737368421,18.771906157894733,19.818553889473684,20.109946152435274,21.096612387157897,23.22481703499421,24.74684379877527,26.61768785517895,28.4991797133,30.11709801593684,32.1475625055,33.97399020744062,35.82041905444444,37.94995356444445,39.96680331444444,40.88347901888889,41.61190378111111,42.58797673333334,45.056402276422865,47.0662310145629,48.5366309384915,49.27151836611111,52.92411772965928,54.35462471256988,54.99299248475378,56.76023893568729,61.11482413835671,56.79621019598048,61.345921675147736,64.1280267740886,67.54890075125695,67.85112373201042,69.33426774070375,0.024658411159426796,0.027376034199821264,0.002153110605639032
Other Caribbean,36.35158599632978,38.50389585269215,40.67453335578917,41.52372021188436,42.01642065233941,43.424145425863834,42.261799282671014,45.10351292959533,45.38968169066574,48.61119420752305,51.171155010858314,53.99932264001128,57.278601590255775,61.47977734522759,65.0954326645731,67.50218441891423,68.29531774904746,71.42352097096514,73.35372471489654,71.29253281389289,73.89843390888916,75.98803342960385,76.28440441401165,73.20129701484613,72.74255483112844,73.91288508470743,74.01258907829076,76.01222964650772,76.88555899749153,76.03693938371713,77.9545344795221,78.7890765399003,74.47905701414409,76.23679859873296,79.62202265563906,78.69856076651894,80.18643801301606,79.7518458375431,84.27429882692633,84.66983002100794,82.85664180343227,-0.018733753440753453,0.006117248590831181,0.0025730352396852708
Other South America,11.823850065200002,20.834370250000006,26.975184,29.14025791,33.3681057346,37.1111492137,39.7175196012,39.7360260016,43.394183148900005,48.5475581644,54.0412885,57.386189896000005,64.24755651325749,66.9529509386302,65.84131708840677,67.51156628820995,61.33390065881905,64.93353534691195,67.523125661486,65.29511412584236,66.65973289574816,67.5672743675618,71.86057830687173,73.6817359295577,73.53935119001969,75.23394688435486,78.93269200738479,82.32232738002945,84.19596500895497,80.90979933014326,82.72848574753529,91.25898964601063,87.89738266270656,87.9220913037595,80.06708134090374,74.19999601945509,71.81934799341803,74.49416503399445,82.28569503225121,76.74088232176013,78.31488870915186,0.023306582778417573,-0.005467623340852379,0.0024319953603566223
Total S. & Cent. America,408.71349989407685,439.9015269702395,462.0637950424277,484.41453002196005,497.2481870253351,508.5524376551897,534.0820864736206,550.6868832026321,582.0073238549762,611.1935846073906,646.3738615042466,678.750940575563,717.6335150137701,748.8997350432451,772.5030022648997,808.7841888601691,796.546177663038,821.4695786153868,861.3362804611141,902.0484400625294,943.3405133072449,988.5457184220654,1034.2652875328267,1072.052249292648,1083.1583832119566,1140.1404951827988,1181.6413077134018,1232.2607314298582,1271.4049043299804,1289.9111188213224,1299.9084180419352,1307.281900195937,1306.3396587285965,1315.3698728663112,1334.290572872748,1316.0392342194598,1369.9886861988375,1397.1714704075466,1461.2892415139431,1510.0377633368134,1528.0698494595347,0.014713922658377232,0.016302619694974263,0.04745277488662446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,43.742000000000004,43.977000000000004,49.688,48.149,49.155,49.296,51.27025333652143,50.984824983628776,52.44125062784313,53.27408208799931,56.4256937,55.13042169999999,57.2738494812,57.6750549658,60.94104599999999,61.23481045045,62.49449725033018,62.531577309133304,60.13277483997502,64.10708199999999,66.83274237743935,64.375271148,64.75748856800027,66.72518634566,69.08750913780004,71.14679860536444,65.85511369180439,72.72160329222058,68.43795323353139,65.64757548559074,65.51279178344762,68.51315707715189,71.3244147675548,68.61804859494885,74.23430241180002,72.5563125052,70.886543,69.174038,74.95314599999999,82.406732,77.84059382836637,-0.052821852840056804,0.017391262060887813,0.0024172665780200346
Belgium,57.322,58.676,63.367000000000004,65.349,67.547,70.923,71.936,72.22500000000001,70.834,72.179,74.408,76.099,78.833,83.183,84.514,84.012,79.821,82.069,84.63,84.21030000000032,85.67690000000032,84.58720000000031,88.10290000000033,84.39960000000032,91.18330000000033,94.60930000000035,90.63770000000031,83.05010000000028,83.49370000000029,72.54560000000025,69.705,85.6060000000003,86.619,75.03990000000026,93.64430000000034,89.45360000000038,100.48180000000035,95.95030000000033,83.663,77.15680000000027,72.85660336126325,-0.053146184215006276,0.004431904024450484,0.002262493432174525
