Renewables: Renewable power generation (excl hydro)*,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share
Terawatt-hours,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-25,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0,0,0,0,0,0,0,0,0,0,0.189,0.202,0.192,0.20600000000000002,0.216,0.227,0.212,0.231,0.234,0.255,0.267,0.266,0.268,0.274,0.274,0.274,0.269,0.34,0.389,0.444,0.47700000000000004,0.496,0.483,0.532,0.457,0.49783501369863015,0.49866875,0.49565125,0.501405,0.5269417260273973,0.56201125,0.5827074785004406,0.5570273758671577,0.5632674913525526,1.060995117674014,1.1485522393494332,1.4196596764757563,1.5309132887062111,1.4040585232067764,1.7991533138023459,1.8912775779027786,2.044691676648887,1.999330703079284,2.1742304157070724,2.19968805441656,2.2419044183826404,2.2461347666247202,2.4436707950278596,3.21472377066067,5.356135133485626,6.706958291387064,0.25563178522831276,0.13495079441767133,0.0010696795903748374
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00324057,0.10286867292999999,0.145570603742,0.219733048,0.21103361,0.219732092266,0.23899672458799998,0.281603159999,0.299077269997,0.35615451132500003,0.495696345126,0.5426152921080001,0.612510058939,0.56988,0.546304746831,0.5782503855200001,0.58544,0.51381,0.4887699999999999,0.6054999999999999,0.75933,0.63903,-0.15612346789500253,0.01648955835414445,0.00010191763821090739
Peru,0,0,0,0,0,0,0.227,0.227,0.23,0.266,0.266,0.245,0.242,0.215,0.163,0.085,0.076,0.151,0.145,0.14200000000000002,0.169,0.154,0.136,0.136,0.145,0.136,0.133,0.133,0.109,0.11900000000000001,0.14200000000000002,0.13740000000000002,0.1546,0.1265,0.1396,0.1588,0.1642,0.1872,0.19720000000000001,0.1542,0.3492,0.3492,0.41819999999999996,0.4612,0.4612,0.6742,0.6762,0.7289,1.1581000000000001,1.7478,1.7316294744886702,1.6194225683354184,1.838065,2.790751,2.9425111111111146,3.0984041010000007,3.1973194334444486,3.3709525779695753,4.061083273950495,6.023910025246488,7.1645036740571,0.19260288104192513,0.15258540008627897,0.0011426526038108824
Trinidad & Tobago,0,0,0,0,0,0,0.035,0.035,0.029,0.025,0.023,0.019,0.023,0.029,0.029,0.026000000000000002,0.019,0.018000000000000002,0.016,0.013000000000000001,0.017,0.026000000000000002,0.031,0.027,0.026000000000000002,0.031,0.025,0.03,0.028,0.032,0.033,0.017,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.020531,0.030039000000000003,0.027369,0.013902000000000001,0.025579,0.024742999999999998,0.02909,0.022285,0.023534,0.022939,0.0044080000000000005,0.0044080000000000005,0.006228,0.006228,0.006228,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.006255,0.0070584734641587,0.14658521821724307,19.82416577765571,0.37083847883465926,2.337858823111887e-05
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0.00298,0.00522,0.09363,0.18872,0.13891,0.11476,0.11689,0.041679999999999995,0.06167,0.021708047138047117,0.020903636363636322,0.01736,0.12922855612023731,0.25244136000000006,0.35398392372367504,0.4060839423966853,0.09805729805673868,5.645619997581796e-05
Central America,0,0,0,0,0,0,0.10700000000000001,0.14100000000000001,0.11700000000000002,0.15600000000000003,0.338,0.7240000000000001,0.6990000000000001,0.752,0.6420000000000001,0.6821052631578949,1.1091052631578948,1.1981052631578948,1.0261052631578949,1.2371052631578947,0.93699,0.86075,0.9105160000000001,0.8839620000000001,1.171867,1.2207556315789474,1.3350639157894737,1.8216531736842108,1.7220100210526317,1.6930572210526318,1.750838894736842,1.7620156584879052,1.9265448341578948,1.6785293609942107,2.513357517038421,2.980596943494737,3.2326993983,3.580647433936843,3.7764606195,3.9756085732999993,4.220894520707679,4.598561783740575,5.028165614915577,5.149249951883418,5.7543646326306135,6.400411439683575,6.7858759512920654,7.99138127750499,8.712834772528428,9.915924844518369,11.754404466488584,13.175460494068208,13.078802987959346,15.28007021488973,16.723651195004475,16.150924913581534,17.30291447713145,16.29871234648659,17.572328384454728,17.49458938460581,19.54851999947796,0.12046514254094354,0.052183107959447916,0.003117755017550792
Other Caribbean,0,0,0,0,0,0,0.97,0.831,0.978,0.984,1.012,1.103,1.193,1.339,1.2890000000000001,1.292,1.308,1.4060000000000001,1.515,1.2890000000000001,1.209,1.2660000000000002,1.304,1.422,1.3889999999999998,1.6038421052631582,1.367842105263158,1.47,1.0657171717171718,1.1387777777777779,0.9627777777777778,1.2355367169590643,1.193021527979798,1.0555986328888889,1.2351559098001061,1.38168013593682,1.3248306835394184,1.2517715961314007,1.0376561504139632,1.1561386167481602,0.8788976997716211,0.8932522894893049,0.9405474455392322,1.0394749338494127,1.1171417073175738,1.100666808152846,1.2582777114526282,1.7056911721425012,2.287981852287696,2.257111111382131,2.5356732107063107,2.617463943253933,2.999343447990315,3.2408376256816793,4.328028455610704,4.92528745755052,5.5137060510604865,5.8060443574003076,6.263534629037946,6.732035768721631,8.982737901628601,0.33798281112897555,0.13483192430241941,0.0014326392056735822
Other South America,0,0,0,0,0,0,0.056,0.059,0.061,0.066,0.063,0.07200000000000001,0.07400000000000001,0.056,0.079,0.08400000000000002,0.089,0.091,0.075,0.08,0.095,0.097,0.11,0.10700000000000001,0.095,0.111,0.11189473684210527,0.12384210526315789,0.13357894736842105,0.1198421052631579,0.12163157894736841,0.11957894736842106,0.11578947368421053,0.12878947368421054,0.13478947368421051,0.128396238,0.131755238,0.141453238,0.1383449601568,0.1335019601568,0.1237124024032,0.1424950189392,0.2528458058792,1.0168338271292001,1.1687285059372,1.38793065210567,1.499110201848978,1.6854548725585907,1.9207441084187018,3.054684470592217,4.989040078195183,6.102741157964658,7.100992819695499,8.245701195731842,8.404494107797708,9.565260226609585,9.522371200128807,9.427906207059667,10.024831357600148,11.420272093043994,11.152759914098047,-0.020748776421562587,0.08376853010720131,0.0017787317496489293
Total S. & Cent. America,0,0,0,0,0,0.5709333529763795,2.1533859903828474,2.1425975844029543,2.276770625090259,2.3891550305418603,2.8731678980821322,3.363300271367957,3.6838485303171393,4.083916885392154,4.383003157469538,4.405631151404882,4.883746149848896,5.5255531441538706,6.3585358223121755,6.183772602130631,6.076121997993201,6.267672669717866,6.702199608207368,6.639707087553322,6.9310308877624465,8.33168205070727,8.40542142159458,10.720841946287596,10.277238260411256,10.819905152213755,11.079004864820472,12.492879600439009,13.210257347753933,12.450101736830025,14.622712155779313,14.820024626917503,16.54190232042756,18.40667168473709,20.32604926961732,21.52729449864255,22.783605179801366,24.377575170286484,30.00478357610496,34.3082704011752,38.61551259381333,50.21716320338747,53.33166746385779,62.99319170840901,72.93540996594992,87.78080154502247,106.29101253657278,124.6651082168158,140.88723708693107,159.44660466821807,179.20365398246702,196.4596040212197,225.71873098374445,254.82133184643632,301.5890701076558,348.4262429818384,387.7021743403336,0.11577236189558926,0.13815174674120456,0.061833857468350885
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943327,1.287501,0.905816,1.0469600000000001,1.1044500000000002,1.1424850000000002,1.225832,1.3291639999998917,1.3621110000000032,1.211555,1.8592209999999998,1.5954439999999999,1.733389,1.889777,1.6499118188815172,1.5982793199999996,1.8448119999999995,1.7324439999999999,2.0929209999999996,3.00173,3.792438060423016,5.029945415030309,6.140548663990792,6.219363639474432,6.2977069053316646,6.652852606388974,6.6825186974785025,7.4907781526642605,8.489478731680641,9.192526396883762,10.44007097395391,11.126375472909348,12.773920774485628,12.428904361665111,13.820435739736899,13.435601937640254,13.993636,15.781999,19.483451,22.071625276,23.803898897300904,0.08143894072983882,0.08591158046473701,0.003796437030850087
Belgium,0,0,0,0,0,0,0,0,0.116,0.108,0.083,0.057,0.247,0.26,0.315,0.3,0.291,0.046,0.022,0.024,0.053,0.11900000000000001,0.14800000000000002,0.188,0.198,0.28900000000000003,0.307,0.276,0.253,0.254,0.33,0.322,0.28300000000000003,0.37,0.509,0.5840000000000001,0.634,0.778,0.945,1.1799999999999997,1.818,2.593,3.097,4.008,5.111000000000001,6.342600000000019,8.181500000000021,10.170300000000028,11.347400000000032,11.920400000000043,14.135200000000044,13.891700000000052,15.53530000000005,16.890100000000032,19.17320000000006,23.193800000000074,22.33180000000008,24.160700000000087,27.0691000000001,25.99220000000009,28.037950710191033,0.08166169133457468,0.0708889344917043,0.004471717629307707
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004587,0.020047000000000002,0.046862,0.137457,0.247678,0.731473,1.017694,2.065421,2.877212,2.7880200000000004,3.103357,3.166574,3.3030150000000003,4.233877,4.555085,4.645192000000001,5.489051000000001,5.836557000000001,6.978563,8.582603,9.901730993347911,0.1568587086536184,0.12302115789058998,0.00157920760690697
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.01,0.006,0.019,0.006,0.009000000000000001,0.009000000000000001,0.001,0.009000000000000001,0.009000000000000001,0.001,0,0,0,0.006,0.024,0.03,0.0419,0.061,0.07426,0.172257,0.255382,0.425056,0.6542650000000001,0.9297219999999999,1.1187399999999998,1.5112130000000001,1.8083,2.0804,2.5206999999999997,2.8882000000000003,3.4002,3.4912,4.0667,4.401,5.394083765512578,0.2290075158370628,0.17035833388446453,0.0008602918136751638
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000755,0.000921,0.001512,0.003489,0.015356,0.031356,0.07300000000000001,0.178,0.257,0.327,0.318,0.399752,0.424659,0.43522000000000005,0.46380000000000005,0.514752,0.5966480000000001,0.774756,0.883965,1.092873,1.366422,1.593657829063891,0.16949523272967104,0.1483134284895149,0.0002541693536367835
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.321,0.405,0.292,0.494,0.587271,0.6767390000000001,0.52479,0.52279,0.505407,0.494489,0.723371,0.7530689999999999,0.9677120000000001,1.322111,1.7066770000000002,2.225338,3.1136820000000003,5.282496,5.936146999999999,6.573879000000001,7.267314493200004,7.6319364312999864,7.397742762799995,7.7525225521999905,7.777102664399991,8.018442070400004,8.199812801047585,8.221068953340863,8.534722972627312,8.786720422380663,9.692317164522777,10.793315484600322,0.11664589883324172,0.03526614656655003,0.0017214046643438967
