Total energy supply per capita*,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,
Gigajoule per capita,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2025,2015-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,17.978729871967133,19.676299858173405,20.076128944891853,20.16356979900128,19.71746874070429,21.032125607385407,20.169343659822484,22.812994884190072,21.292105208045946,23.248139451635918,21.05878041460169,21.45802584677122,21.71917298946023,22.00800789177481,22.199838010280637,22.3995871367347,22.302801779156315,22.278070863428905,23.089750719106913,22.47200689633643,22.548421656304328,22.671990393236147,24.28358007099289,23.482715770426122,24.02115136717226,22.042484078228153,22.282560991966246,23.976277405097,24.83608300613051,25.98789648112069,26.24687905962128,26.40667576431775,27.202225817267276,27.262372865807762,24.045216774106336,23.373278762721572,23.16171442560141,22.467807820637148,22.33929834018706,23.15630370346117,22.30511023463169,25.909377791976176,25.915474188656606,26.716579803078332,26.859337334159587,28.327366644390086,28.50225696694107,30.61022876928082,31.83943276605153,33.5309514478525,32.83045678992776,35.66460538890103,33.99712726752195,34.541137371676804,34.72987965336379,31.0824937122006,32.87962884728134,35.73565238368007,35.45179172561589,35.129917640046415,33.36636645824727,-0.04759864501554234,0.0016204870869067634
Ecuador,5.545041509527875,5.636624895584497,5.912627476924205,6.828051202824985,7.023217660356847,8.176512865884794,8.727532360933319,9.416150269652407,9.865796382673901,11.146634849272782,13.317872795399332,14.16698620059075,15.4887179843589,17.12619136640221,18.748499678672758,19.958117110536012,21.248096895842238,21.241931540023806,19.33380905693135,20.39651162394176,20.651410347488795,20.575361248049244,19.43883207109194,20.951205462604506,19.6310216884317,20.493326075509096,21.68550654290524,22.46862800974484,21.71322665911017,22.599004605825296,23.281931434260827,24.95236559609839,25.759918272292563,25.178765519706456,22.501935714179247,24.116986216701733,24.88295226474884,25.099911416167096,24.974787362119965,26.53457584461927,28.109024609060516,29.324042678511304,29.592464670656696,30.50846382176656,32.29855439355841,33.38492140448231,34.060062698309636,35.33730023863041,36.67070402271413,37.924130919471914,36.715287085495,35.16496243952135,34.79992741794389,36.44172726033958,35.531537945689365,29.406788467248735,34.90102752137711,37.04485923245439,38.3871496986444,38.56860118837935,38.91592117185004,0.011769650223200756,0.005837999216810941
Peru,15.264786099776797,18.32895030872371,17.978113508204622,17.706860266608693,17.197179188444025,17.443692670760466,17.53247878507055,15.005411952583994,16.693176513856358,18.869049643381594,19.46855330178754,19.27791800948445,18.879197241729663,18.30224556266446,18.42439950550112,19.309225822117952,19.549659255724805,19.065470119248207,15.979190809741423,16.3789802106634,15.425341082759338,16.24384477063866,17.37264260606367,16.54643449067274,14.607128161960375,14.146232016841621,13.39174529592602,13.236939533315951,13.814288357805784,14.749762454892657,15.964924886771808,16.155052675850953,15.508882139523841,15.665500514103528,15.693326479791411,15.656320855757317,14.941379248229255,15.161952767742509,14.674020970052052,16.07820039541577,16.67622808932976,16.443365995963713,18.231353931620863,20.064964249915956,20.26707893754872,23.463381519683253,25.86391014143722,26.57425033071047,26.992718358801874,27.481233671262377,28.35770575730506,29.883163003145217,29.084766175149195,29.79428535672998,30.059857379787893,25.636302256614734,29.469842192179538,30.572460497914722,30.929240155536373,32.92354300532575,32.95631723538185,0.003737918186178746,0.015141910800877012
Trinidad & Tobago,130.38463379658154,136.59313127703578,143.55250920664446,146.05836852910852,148.82363472363932,162.23395015182305,162.1370469155415,220.76446263484368,216.21369112484552,205.67489872576633,163.72536931880205,181.87331906664446,186.898862947948,185.801067914507,162.04915553461743,153.87267804743004,160.5625501944027,186.47398539834296,179.9628442204584,175.50526194885708,179.18492911659467,183.8627866817023,171.54400476618483,186.57385598250625,181.84757439081537,200.0799865662748,197.90135084012175,207.9068409984192,217.64482210262088,229.238156638665,247.2880667115566,278.9351879671024,277.8144863312542,281.04881571704067,311.30115119166965,324.67310734040365,344.83583129818464,381.8339946619677,416.2241725630153,454.21579410287796,498.50957624469606,574.7918617174782,583.6639664228322,572.1163449563435,565.122103127763,606.2423693314598,594.9282316416471,579.2946683856175,582.4824562475458,579.654858523609,558.2552377242147,490.3615997164016,515.7571569376538,475.0038860329028,473.2288478438392,411.5669568116028,418.904359354796,416.4438925349547,392.6230125634264,385.71116853542287,358.22511713426115,-0.06871621795324667,-0.04339571328672154
Venezuela,70.0881733450857,68.43752746339699,69.72151709653174,72.20343038206826,70.47552548597001,68.42399198031121,66.73953069648448,68.27392368371667,76.20673989090176,75.85212652674005,76.12772243414197,80.43072473229432,86.88688236806402,86.35258514435621,92.16527659468986,100.90550871850424,101.8351439444667,100.87013958443858,96.86041565648355,95.41360775519597,94.72438781147672,98.82187654652077,94.02831103302589,94.69553730642136,93.06944199688621,96.44651502101524,92.27839044371437,97.89644079671989,94.46819156643491,100.41239047869176,101.65695510100014,95.86681959032599,99.18074552536845,97.3779111823705,91.73452896225595,95.24755849622125,100.86369700689777,99.30073027130497,86.06237693858097,93.63014184574769,94.82405358615863,103.63450460461058,107.27426354324997,108.22133894747172,108.47447273910187,102.56449574122747,106.53418456092336,111.14949091633547,107.86368005067746,104.19905335337367,99.21731684804924,91.29877010618807,88.71780121076499,75.20395171481816,68.75927368374776,52.50925055763697,62.75449736390662,67.52627124724576,73.35019173119727,72.40378612805563,71.05385805172239,-0.015955795046943,-0.032836231954091244
Central America,9.64300856638591,9.671251458018416,9.793917154276663,9.841150070701238,10.004289550529062,10.138711038407617,10.281274680306927,10.636254326287562,11.356553520747378,11.736652872715707,12.98589646182071,13.882390079359736,14.320500600773121,14.41303273387202,14.128887086919354,13.1409307896547,13.039513022388459,12.82609894421769,12.215872647696937,12.502051977801456,12.192546106222977,11.940192693031143,12.457173850024638,11.875694318521182,12.418508652367496,12.474061494724731,13.13014054337411,14.696089613171386,15.193121032865552,15.909895925772682,16.918564375983863,16.4809789094815,17.218399075851586,18.85933290166599,19.12740796659423,19.7088251452944,20.534521755001954,20.54287742792228,21.104866582365048,21.417307411864158,20.982048291463357,21.96874683776556,22.556377640432466,23.089295267046978,22.414450812346846,22.766329501070558,23.16920653493161,24.01626794910538,24.27420950211568,24.66453424877646,26.122041127634645,26.880952732336,26.795251000116824,26.819860849497037,28.950017799749638,24.066486282795054,26.41609738462734,26.88743144232714,28.004662109688134,28.57198850653794,28.981034852212073,0.017095290411721864,0.010440343986012124
Other Caribbean,35.32017969752945,35.860532513217755,36.639661365166184,36.7329133928017,36.97152529287644,41.58445741373367,42.13067085264596,44.17548981231258,48.11614143208729,47.051041306411804,45.05015236807068,45.157740068844355,46.789167867981746,47.343583797728996,48.1600966144985,48.24087032057788,48.54042476174533,42.44143973813618,40.925283550234255,42.42477629586306,39.03282253075455,39.56335261109349,40.51554534960803,40.35301663532647,41.56503215308653,40.33392142248581,38.86918362383421,36.29096291514129,35.94698609141072,37.232077342403336,36.834989894806036,37.66604825603043,39.53754412581265,40.42562367938131,38.731754315240806,44.907272407465356,47.281694460867236,47.63317487302455,48.06286346202781,47.884503389604646,47.87610218194564,48.89607091325196,46.83205711179263,43.66373975660561,40.609323050991954,40.7152513181228,40.34781531147594,38.39310139108819,36.525616956561045,36.79123809136795,37.97584005550666,38.945219628165816,37.78311870604877,38.64400584785644,37.704189083552485,34.09616566754642,34.62029075132676,34.572888834360946,34.63588790939372,35.33856437153454,36.486063100108254,0.03530026098884709,-0.003993984215650337
Other South America,14.155581403977473,14.18404351514999,14.334023929979862,14.33409352828955,15.11269501034934,15.307573648044487,15.63979064241741,16.136629752204044,16.33880804394336,15.694772034757753,16.924359607084135,17.210011841621743,17.48402461979844,19.15819793024453,19.678966404494208,19.257470371123755,18.67276715815114,17.06698476226171,15.53326541274026,14.952535398492172,15.512537791368539,17.356345522704714,18.95872717286246,19.911924081914066,20.96985265948995,21.24896746700651,22.459662809657264,22.88230212997926,24.01585485203903,25.426754785060016,28.30115381372072,29.152401424035542,29.930793993223144,30.485178171863815,31.203824642344358,29.35633467009678,27.039386165676923,27.377042917091686,28.22046197001345,28.370338043779896,28.74460838903841,29.011834498933,31.236870621904806,33.38851395199127,33.76291508004637,34.09058222455455,35.97703226245306,36.25455049814852,37.179333340403645,36.734897981643,36.998064247539595,39.12329749032193,39.10503916683374,39.499921541986744,38.210022677784444,34.23915637440875,36.74297298038157,37.40231849594951,39.14878514223525,39.16955319209943,39.196219541706455,0.0034223840084051105,0.005788157849346165
Total S. & Cent. America,22.193256204138876,22.875209981830313,23.15066479446395,23.91870251482998,24.313427136598232,25.43680327054146,26.01044622232594,27.378440112959456,29.34548582383293,30.155347199718626,29.617283108571826,30.755558819980976,31.81227631334065,32.632911164609695,33.717554799895986,33.809669824466,32.89355444735717,32.318209012789275,31.48693354130709,31.818988894375693,31.768100142878136,32.829279886716826,33.189840361593234,33.6123354045103,33.559216290154794,32.92209671129563,32.9852462526827,33.70166373760098,34.11201772034959,35.53660949543834,36.76403577777526,37.72117379454564,39.012148113885765,39.71672276084181,39.2551939915022,40.19477659217395,40.32569789209828,40.03625884102306,39.653502959910924,41.588365370000524,42.18408316201909,44.0213702024094,45.54897205729731,46.546882860404914,45.36463960070481,47.544302916180165,48.85288191178125,50.31342740361997,51.17192992650954,51.5985348080369,51.05352785654546,49.944369403052505,49.429631543331574,48.28441266844382,47.80253321130524,42.988447247983615,46.53538559307134,47.602427248091345,48.229136998893395,48.752211850607864,48.78892999754193,0.0034949480614194783,-0.004526843349100473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
